Dist type;Hist Type;Num Bins;Num Correct;Num Correct (%)
l2;grayvalue;10;39;0.43820224719101125
l2;grayvalue;20;34;0.38202247191011235
l2;grayvalue;30;36;0.4044943820224719
l2;grayvalue;40;34;0.38202247191011235
l2;grayvalue;50;31;0.34831460674157305
l2;rgb;10;54;0.6067415730337079
l2;rgb;20;42;0.47191011235955055
l2;rgb;30;34;0.38202247191011235
l2;rgb;40;30;0.33707865168539325
l2;rgb;50;30;0.33707865168539325
l2;rg;10;52;0.5842696629213483
l2;rg;20;43;0.48314606741573035
l2;rg;30;39;0.43820224719101125
l2;rg;40;37;0.4157303370786517
l2;rg;50;31;0.34831460674157305
l2;dxdy;10;39;0.43820224719101125
l2;dxdy;20;40;0.449438202247191
l2;dxdy;30;38;0.42696629213483145
l2;dxdy;40;37;0.4157303370786517
l2;dxdy;50;36;0.4044943820224719
intersect;grayvalue;10;45;0.5056179775280899
intersect;grayvalue;20;46;0.5168539325842697
intersect;grayvalue;30;45;0.5056179775280899
intersect;grayvalue;40;47;0.5280898876404494
intersect;grayvalue;50;45;0.5056179775280899
intersect;rgb;10;70;0.7865168539325843
intersect;rgb;20;71;0.797752808988764
intersect;rgb;30;72;0.8089887640449438
intersect;rgb;40;70;0.7865168539325843
intersect;rgb;50;70;0.7865168539325843
intersect;rg;10;62;0.6966292134831461
intersect;rg;20;65;0.7303370786516854
intersect;rg;30;65;0.7303370786516854
intersect;rg;40;67;0.7528089887640449
intersect;rg;50;65;0.7303370786516854
intersect;dxdy;10;52;0.5842696629213483
intersect;dxdy;20;57;0.6404494382022472
intersect;dxdy;30;55;0.6179775280898876
intersect;dxdy;40;56;0.6292134831460674
intersect;dxdy;50;57;0.6404494382022472
chi2;grayvalue;10;42;0.47191011235955055
chi2;grayvalue;20;37;0.4157303370786517
chi2;grayvalue;30;38;0.42696629213483145
chi2;grayvalue;40;35;0.39325842696629215
chi2;grayvalue;50;33;0.3707865168539326
chi2;rgb;10;60;0.6741573033707865
chi2;rgb;20;48;0.5393258426966292
chi2;rgb;30;38;0.42696629213483145
chi2;rgb;40;34;0.38202247191011235
chi2;rgb;50;30;0.33707865168539325
chi2;rg;10;53;0.5955056179775281
chi2;rg;20;51;0.5730337078651685
chi2;rg;30;42;0.47191011235955055
chi2;rg;40;40;0.449438202247191
chi2;rg;50;35;0.39325842696629215
chi2;dxdy;10;42;0.47191011235955055
chi2;dxdy;20;44;0.4943820224719101
chi2;dxdy;30;40;0.449438202247191
chi2;dxdy;40;38;0.42696629213483145
chi2;dxdy;50;36;0.4044943820224719
